product_id,title,category,description,price,image
1,轻薄笔记本电脑,电子产品,英特尔酷睿标压处理器16G内存适合办公与编程。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,6999,images/products/1.jpg
2,5G智能手机,电子产品,高刷屏OLED多摄系统长续航快充。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,4599,images/products/2.jpg
3,10寸平板电脑,电子产品,轻薄金属机身适合阅读与影音。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,2499,images/products/3.jpg
4,主动降噪耳机,电子产品,蓝牙5.3主动降噪通勤与运动皆宜。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,899,images/products/4.jpg
5,运动智能手表,电子产品,心率血氧与睡眠监测50米防水。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,1599,images/products/5.jpg
6,RGB机械键盘,电子产品,青轴手感全键无冲游戏与码字两用。适用场景涵盖日常办公、学习与影音娱乐。选购前请核对接口、供电与系统兼容性；建议保留外包装以便售后。,459,images/products/6.jpg
7,竞速跳绳,运动户外,钢丝轴承手柄长度可调有氧训练。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,39,images/products/7.jpg
8,TPE瑜伽垫,运动户外,加厚防滑易清洁居家瑜伽与拉伸。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,99,images/products/8.jpg
9,家用哑铃套装,运动户外,包胶哑铃多重量片家庭力量训练入门。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,329,images/products/9.jpg
10,缓震跑步鞋,运动户外,网面透气缓震中底日常慢跑与健走。适合居家锻炼与户外轻度运动。请结合自身身体条件循序渐进使用，并注意热身与补水；尺码以商品说明为准。,499,images/products/10.jpg
11,全脂纯牛奶1L×12,食品饮料,高温灭菌蛋白与钙适合早餐与烘焙。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,62,images/products/11.jpg
12,全麦吐司面包,食品饮料,少油少糖配方松软口感早餐搭配牛奶。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,18,images/products/12.jpg
13,冻干速溶咖啡,食品饮料,阿拉比卡豆冷热即溶香气浓郁。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,56,images/products/13.jpg
14,榛仁牛奶巧克力,食品饮料,可可脂与榛仁颗粒甜度适中。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,48,images/products/14.jpg
15,即食燕麦片,食品饮料,高膳食纤维热水或牛奶冲泡即食。请置于阴凉干燥处保存，开封后尽快食用。过敏人群请留意配料表；儿童与老人食用请适量。,32,images/products/15.jpg
